date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:43	65840/65840	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:43	49388/49388	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:44	69940/69940	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:44	22472/22472	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Regular.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Regular.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:44	30064/30064	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Regular.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Regular.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:44	22328/22328	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Bold.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Bold.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:45	29976/29976	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Bold.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Bold.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:45	21900/21900	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Light.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Light.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:45	29420/29420	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Light.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/Joost/Joost%20Light.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:45	39540/39540	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:45	54696/54696	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:46	40280/40280	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:46	55196/55196	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Book%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:46	42220/42220	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:46	58560/58560	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:47	41384/41384	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:47	57068/57068	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightTextPro/Freight%20Text%20Pro%20Bold%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
